id,title,content,summary,url,date
1,Why Crypto Adoption Stalled – And What Can Restart It,,,https://www.coindesk.com/sponsored-content/why-crypto-adoption-stalled-and-what-can-restart-it,2025-05-09
2,TELUS Digital,,,https://www.telusdigital.com/crypto-cx-solutions,2025-05-09
3,"DOGE, XRP, ETH, SOL Follow Bitcoin Through the Cloud as Altcoin Momentum Builds",,,https://www.coindesk.com/markets/2025/05/09/from-bitcoin-topping-cloud-to-doge-xrp-eth-sol-catching-up-momentum-builds-in-the-altcoin-sector,2025-05-09
4,What’s Next for Bitcoin With Crypto Market Cheering Trump's Trade Deal Hype?,,,https://www.coindesk.com/markets/2025/05/08/what-s-next-for-bitcoin-with-crypto-market-cheering-trump-s-trade-deal-hype,2025-05-09
5,Bettors Lose Millions Predicting the New Pope as Polymarket Edge Fizzles Out,,,https://www.coindesk.com/markets/2025/05/09/bettors-lose-millions-predicting-the-new-pope-as-polymarket-edge-fizzles-out,2025-05-09
6,"Bitcoin's Price Surge to $104K Liquidates Nearly $400M in Bearish BTC Bets, Opening Doors to Further Gains",,,https://www.coindesk.com/markets/2025/05/09/bitcoin-s-price-surge-to-usd104k-liquidates-nearly-usd400m-in-bearish-btc-bets-opening-doors-to-further-gains,2025-05-09
7,"Explosive ETH, ADA, DOGE Moves Spur $800M in Short Liquidations, Highest Since 2023",,,https://www.coindesk.com/markets/2025/05/09/explosive-eth-ada-doge-moves-spur-800m-in-short-liquidations-highest-since-2023,2025-05-09
8,Metaplanet Plans a Further $21M Bond Sale to Buy More BTC,,,https://www.coindesk.com/markets/2025/05/09/metaplanet-plans-a-further-21m-bond-sale-to-buy-more-btc,2025-05-09
9,CoinDesk Weekly Recap: Even ETH Is Up,,,https://www.coindesk.com/news-analysis/2025/05/09/coindesk-weekly-recap-even-eth-is-up,2025-05-09
10,Celsius Founder Alex Mashinsky Sentenced to 12 Years in Prison for Fraud,,,https://www.coindesk.com/policy/2025/05/08/celsius-founder-alex-mashinsky-sentenced-to-12-years-in-prison-for-fraud,2025-05-09
11,Opinion,,,https://www.coindesk.com/opinion,2025-05-09
12,How the Democrats’ Path to 2026 Victory Goes Through Decentralized Crypto,,,https://www.coindesk.com/opinion/2025/05/08/how-the-democrats-path-to-2026-victory-goes-through-decentralized-crypto,2025-05-09
13,Hermine Wong,,,https://www.coindesk.com/author/hermine-wong,2025-05-09
14,Stabledollars: The Third Act of Dollar Reinvention,,,https://www.coindesk.com/opinion/2025/05/06/stabledollars-the-third-act-of-dollar-reinvention,2025-05-09
15,John deVadoss,,,https://www.coindesk.com/author/john-devadoss,2025-05-09
16,Will Crypto Values Survive the Regulatory Wave?,,,https://www.coindesk.com/opinion/2025/05/06/will-crypto-values-survive-the-regulatory-wave,2025-05-09
17,Ivo Entchev,,,https://www.coindesk.com/author/ivo-entchev,2025-05-09
18,Reflections on Those MSTR Bitcoin ‘Earnings’,,,https://www.coindesk.com/opinion/2025/05/05/reflections-on-those-mstr-bitcoin-earnings,2025-05-09
19,Andy Baehr,,,https://www.coindesk.com/author/andy-baehr,2025-05-09
20,Press Releases,,,https://www.coindesk.com/press-release,2025-05-09
21,JAM featured at ETHLisbon- offers glimpse into the future of Web3 infrastructure,,,https://www.coindesk.com/press-release/2025/05/05/jam-featured-at-ethlisbon-offers-glimpse-into-the-future-of-web3-infrastructure,2025-05-09
22,Bybit Showcased Innovative Payments and Crypto Solutions at Web Summit Rio 2025,,,https://www.coindesk.com/press-release/2025/05/03/bybit-showcased-innovative-payments-and-crypto-solutions-at-web-summit-rio-2025,2025-05-09
23,Immediate Attention Required for LocalBitcoins.com Users,,,https://www.coindesk.com/press-release/2025/05/02/immediate-attention-required-for-localbitcoins-com-users,2025-05-09
24,MEXC Ventures Announces $300 Million Ecosystem Development Fund at Token2049 Event,,,https://www.coindesk.com/press-release/2025/05/02/mexc-ventures-announces-usd300-million-ecosystem-development-fund-at-token2049-event,2025-05-09
25,"BYDFi Partners with Ledger to Launch Limited Edition Hardware Wallet, Debuts at TOKEN2049 Dubai",,,https://www.coindesk.com/press-release/2025/04/30/bydfi-partners-with-ledger-to-launch-limited-edition-hardware-wallet-debuts-at-token2049-dubai,2025-05-09
26,"Coinbase Divides Wall Street Analysts After Earnings Miss, Deribit Takeover",,,https://www.coindesk.com/markets/2025/05/09/coinbase-draws-mixed-reviews-from-wall-street-after-q1-earnings-miss-deribit-acquisition,2025-05-09
27,Helene Braun,,,https://www.coindesk.com/author/helene-braun,2025-05-09
28,Bettors Lose Millions Predicting the New Pope as Polymarket Edge Fizzles Out,,,https://www.coindesk.com/markets/2025/05/09/bettors-lose-millions-predicting-the-new-pope-as-polymarket-edge-fizzles-out,2025-05-09
29,Market Maker Flowdesk Expands Capital Market Offerings With New Institutional Credit Desk,,,https://www.coindesk.com/markets/2025/05/09/market-maker-flowdesk-expands-capital-market-offerings-with-new-institutional-credit-desk,2025-05-09
30,"DOGE, XRP, ETH, SOL Follow Bitcoin Through the Cloud as Altcoin Momentum Builds",,,https://www.coindesk.com/markets/2025/05/09/from-bitcoin-topping-cloud-to-doge-xrp-eth-sol-catching-up-momentum-builds-in-the-altcoin-sector,2025-05-09
31,Bitcoin Miner MARA Stock Surges Despite Earnings Miss as Analysts Applaud Cost Cutting,,,https://www.coindesk.com/business/2025/05/09/bitcoin-miner-mara-stock-surges-despite-earnings-miss-as-analysts-applaud-cost-cutting,2025-05-09
32,Aoyon Ashraf,,,https://www.coindesk.com/author/aoyon-ashraf,2025-05-09
33,Trump Family Profited $320M on Memecoin Despite 87% Decline Since Day One,,,https://www.coindesk.com/business/2025/05/09/trump-family-profited-usd320m-on-memecoin-despite-87-decline-since-day-one,2025-05-09
34,Meta Is Looking to Enter Red-Hot Stablecoin Market: Fortune,,,https://www.coindesk.com/business/2025/05/08/meta-is-looking-to-deploy-stablecoin-to-manage-payouts-fortune,2025-05-09
35,Superstate Expands Into Tokenized Equities; SOL Strategies to Be First Listing,,,https://www.coindesk.com/business/2025/05/08/superstate-expands-into-tokenized-equities-sol-strategies-to-be-first-listing,2025-05-09
36,Sei Wants to Cut Cosmos Compatibility and Go All-In on Ethereum,,,https://www.coindesk.com/tech/2025/05/08/sei-wants-to-cut-cosmos-compatibility-and-go-all-in-on-ethereum,2025-05-09
37,Tim Craig,,,https://www.coindesk.com/author/tim-craig,2025-05-09
38,The Protocol: Ethereum’s Pectra Upgrade Finally Goes Live,,,https://www.coindesk.com/tech/2025/05/07/the-protocol-ethereum-s-pectra-upgrade-finally-goes-live,2025-05-09
39,Why One of Uniswap DAO’s Most Outspoken Members Just Walked Away in Frustration,,,https://www.coindesk.com/tech/2025/05/07/why-one-of-uniswap-dao-most-outspoken-members-just-walked-away-in-frustration,2025-05-09
40,"Ethereum Activates ‘Pectra’ Upgrade, Raising Max Stake to 2,048 ETH",,,https://www.coindesk.com/tech/2025/05/07/ethereum-activates-pectra-upgrade-raising-max-stake-to-2048-eth,2025-05-09
41,Samourai Wallet Prosecutors Say Delayed FinCEN Disclosure Wasn’t a Brady Violation,,,https://www.coindesk.com/policy/2025/05/09/samourai-wallet-prosecutors-say-delayed-fincen-disclosure-wasn-t-a-brady-violation,2025-05-09
42,Cheyenne Ligon,,,https://www.coindesk.com/author/cheyenne-ligon,2025-05-09
43,Gemini Secures MiFID II License From Malta to Offer Derivatives in EEA,,,https://www.coindesk.com/policy/2025/05/09/gemini-secures-mifid-ii-license-from-malta-to-offer-derivatives-in-eea,2025-05-09
44,"SEC, Ripple Ink $50M Settlement Agreement, Ask NY Judge for Green Light",,,https://www.coindesk.com/policy/2025/05/08/sec-ripple-ink-usd50m-settlement-agreement-ask-ny-judge-for-green-light,2025-05-09
45,Celsius Founder Alex Mashinsky Sentenced to 12 Years in Prison for Fraud,,,https://www.coindesk.com/policy/2025/05/08/celsius-founder-alex-mashinsky-sentenced-to-12-years-in-prison-for-fraud,2025-05-09
46,Why Crypto Adoption Stalled – And What Can Restart It,,,https://www.coindesk.com/sponsored-content/why-crypto-adoption-stalled-and-what-can-restart-it,2025-05-09
47,TELUS Digital,,,https://www.telusdigital.com/crypto-cx-solutions,2025-05-09
48,"DOGE, XRP, ETH, SOL Follow Bitcoin Through the Cloud as Altcoin Momentum Builds",,,https://www.coindesk.com/markets/2025/05/09/from-bitcoin-topping-cloud-to-doge-xrp-eth-sol-catching-up-momentum-builds-in-the-altcoin-sector,2025-05-09
49,What’s Next for Bitcoin With Crypto Market Cheering Trump's Trade Deal Hype?,,,https://www.coindesk.com/markets/2025/05/08/what-s-next-for-bitcoin-with-crypto-market-cheering-trump-s-trade-deal-hype,2025-05-09
50,Bettors Lose Millions Predicting the New Pope as Polymarket Edge Fizzles Out,,,https://www.coindesk.com/markets/2025/05/09/bettors-lose-millions-predicting-the-new-pope-as-polymarket-edge-fizzles-out,2025-05-09
51,"Bitcoin's Price Surge to $104K Liquidates Nearly $400M in Bearish BTC Bets, Opening Doors to Further Gains",,,https://www.coindesk.com/markets/2025/05/09/bitcoin-s-price-surge-to-usd104k-liquidates-nearly-usd400m-in-bearish-btc-bets-opening-doors-to-further-gains,2025-05-09
52,"Explosive ETH, ADA, DOGE Moves Spur $800M in Short Liquidations, Highest Since 2023",,,https://www.coindesk.com/markets/2025/05/09/explosive-eth-ada-doge-moves-spur-800m-in-short-liquidations-highest-since-2023,2025-05-09
53,Metaplanet Plans a Further $21M Bond Sale to Buy More BTC,,,https://www.coindesk.com/markets/2025/05/09/metaplanet-plans-a-further-21m-bond-sale-to-buy-more-btc,2025-05-09
54,CoinDesk Weekly Recap: Even ETH Is Up,,,https://www.coindesk.com/news-analysis/2025/05/09/coindesk-weekly-recap-even-eth-is-up,2025-05-09
55,Celsius Founder Alex Mashinsky Sentenced to 12 Years in Prison for Fraud,,,https://www.coindesk.com/policy/2025/05/08/celsius-founder-alex-mashinsky-sentenced-to-12-years-in-prison-for-fraud,2025-05-09
56,Opinion,,,https://www.coindesk.com/opinion,2025-05-09
57,How the Democrats’ Path to 2026 Victory Goes Through Decentralized Crypto,,,https://www.coindesk.com/opinion/2025/05/08/how-the-democrats-path-to-2026-victory-goes-through-decentralized-crypto,2025-05-09
58,Hermine Wong,,,https://www.coindesk.com/author/hermine-wong,2025-05-09
59,Stabledollars: The Third Act of Dollar Reinvention,,,https://www.coindesk.com/opinion/2025/05/06/stabledollars-the-third-act-of-dollar-reinvention,2025-05-09
60,John deVadoss,,,https://www.coindesk.com/author/john-devadoss,2025-05-09
61,Will Crypto Values Survive the Regulatory Wave?,,,https://www.coindesk.com/opinion/2025/05/06/will-crypto-values-survive-the-regulatory-wave,2025-05-09
62,Ivo Entchev,,,https://www.coindesk.com/author/ivo-entchev,2025-05-09
63,Reflections on Those MSTR Bitcoin ‘Earnings’,,,https://www.coindesk.com/opinion/2025/05/05/reflections-on-those-mstr-bitcoin-earnings,2025-05-09
64,Andy Baehr,,,https://www.coindesk.com/author/andy-baehr,2025-05-09
65,Press Releases,,,https://www.coindesk.com/press-release,2025-05-09
66,JAM featured at ETHLisbon- offers glimpse into the future of Web3 infrastructure,,,https://www.coindesk.com/press-release/2025/05/05/jam-featured-at-ethlisbon-offers-glimpse-into-the-future-of-web3-infrastructure,2025-05-09
67,Bybit Showcased Innovative Payments and Crypto Solutions at Web Summit Rio 2025,,,https://www.coindesk.com/press-release/2025/05/03/bybit-showcased-innovative-payments-and-crypto-solutions-at-web-summit-rio-2025,2025-05-09
68,Immediate Attention Required for LocalBitcoins.com Users,,,https://www.coindesk.com/press-release/2025/05/02/immediate-attention-required-for-localbitcoins-com-users,2025-05-09
69,MEXC Ventures Announces $300 Million Ecosystem Development Fund at Token2049 Event,,,https://www.coindesk.com/press-release/2025/05/02/mexc-ventures-announces-usd300-million-ecosystem-development-fund-at-token2049-event,2025-05-09
70,"BYDFi Partners with Ledger to Launch Limited Edition Hardware Wallet, Debuts at TOKEN2049 Dubai",,,https://www.coindesk.com/press-release/2025/04/30/bydfi-partners-with-ledger-to-launch-limited-edition-hardware-wallet-debuts-at-token2049-dubai,2025-05-09
71,"Coinbase Divides Wall Street Analysts After Earnings Miss, Deribit Takeover",,,https://www.coindesk.com/markets/2025/05/09/coinbase-draws-mixed-reviews-from-wall-street-after-q1-earnings-miss-deribit-acquisition,2025-05-09
72,Helene Braun,,,https://www.coindesk.com/author/helene-braun,2025-05-09
73,Bettors Lose Millions Predicting the New Pope as Polymarket Edge Fizzles Out,,,https://www.coindesk.com/markets/2025/05/09/bettors-lose-millions-predicting-the-new-pope-as-polymarket-edge-fizzles-out,2025-05-09
74,Market Maker Flowdesk Expands Capital Market Offerings With New Institutional Credit Desk,,,https://www.coindesk.com/markets/2025/05/09/market-maker-flowdesk-expands-capital-market-offerings-with-new-institutional-credit-desk,2025-05-09
75,"DOGE, XRP, ETH, SOL Follow Bitcoin Through the Cloud as Altcoin Momentum Builds",,,https://www.coindesk.com/markets/2025/05/09/from-bitcoin-topping-cloud-to-doge-xrp-eth-sol-catching-up-momentum-builds-in-the-altcoin-sector,2025-05-09
76,Bitcoin Miner MARA Stock Surges Despite Earnings Miss as Analysts Applaud Cost Cutting,,,https://www.coindesk.com/business/2025/05/09/bitcoin-miner-mara-stock-surges-despite-earnings-miss-as-analysts-applaud-cost-cutting,2025-05-09
77,Aoyon Ashraf,,,https://www.coindesk.com/author/aoyon-ashraf,2025-05-09
78,Trump Family Profited $320M on Memecoin Despite 87% Decline Since Day One,,,https://www.coindesk.com/business/2025/05/09/trump-family-profited-usd320m-on-memecoin-despite-87-decline-since-day-one,2025-05-09
79,Meta Is Looking to Enter Red-Hot Stablecoin Market: Fortune,,,https://www.coindesk.com/business/2025/05/08/meta-is-looking-to-deploy-stablecoin-to-manage-payouts-fortune,2025-05-09
80,Superstate Expands Into Tokenized Equities; SOL Strategies to Be First Listing,,,https://www.coindesk.com/business/2025/05/08/superstate-expands-into-tokenized-equities-sol-strategies-to-be-first-listing,2025-05-09
81,Sei Wants to Cut Cosmos Compatibility and Go All-In on Ethereum,,,https://www.coindesk.com/tech/2025/05/08/sei-wants-to-cut-cosmos-compatibility-and-go-all-in-on-ethereum,2025-05-09
82,Tim Craig,,,https://www.coindesk.com/author/tim-craig,2025-05-09
83,The Protocol: Ethereum’s Pectra Upgrade Finally Goes Live,,,https://www.coindesk.com/tech/2025/05/07/the-protocol-ethereum-s-pectra-upgrade-finally-goes-live,2025-05-09
